Travel Modes,Trip Characteristics,Region,Year,Average Trip Per Day,Average Trip Per Year
Bike,Saturday,Flevoland (PV),2021,,
Bike,Saturday,Gelderland (PV),2018,0.78,41.0
Bike,Saturday,Gelderland (PV),2019,0.7,36.0
Bike,Saturday,Gelderland (PV),2020,0.61,32.0
Bike,Saturday,Gelderland (PV),2021,0.61,31.0
Bike,Saturday,Utrecht (PV),2018,0.84,44.0
Bike,Saturday,Utrecht (PV),2019,0.75,39.0
Bike,Saturday,Utrecht (PV),2020,0.73,38.0
Bike,Saturday,Utrecht (PV),2021,0.7,37.0
Bike,Saturday,Noord-Holland (PV),2018,0.73,38.0
Bike,Saturday,Noord-Holland (PV),2019,0.76,39.0
Bike,Saturday,Noord-Holland (PV),2020,0.62,32.0
Bike,Saturday,Noord-Holland (PV),2021,0.63,33.0
Bike,Saturday,Zuid-Holland (PV),2018,0.61,32.0
Bike,Saturday,Zuid-Holland (PV),2019,0.54,28.0
Bike,Saturday,Zuid-Holland (PV),2020,0.53,28.0
Bike,Saturday,Zuid-Holland (PV),2021,0.53,27.0
Bike,Saturday,Zeeland (PV),2018,0.61,32.0
Bike,Saturday,Zeeland (PV),2019,,
Bike,Saturday,Zeeland (PV),2020,,
Bike,Saturday,Zeeland (PV),2021,,
Bike,Saturday,Noord-Brabant (PV),2018,0.58,30.0
Bike,Saturday,Noord-Brabant (PV),2019,0.6,31.0
Bike,Saturday,Noord-Brabant (PV),2020,0.56,29.0
Bike,Saturday,Noord-Brabant (PV),2021,0.47,25.0
Bike,Saturday,Limburg (PV),2018,0.5,26.0
Bike,Saturday,Limburg (PV),2019,0.41,21.0
Bike,Saturday,Limburg (PV),2020,0.43,22.0
Bike,Saturday,Limburg (PV),2021,0.4,21.0
Bike,Saturday,The Netherlands,2018,0.65,34.0
Bike,Saturday,The Netherlands,2019,0.61,32.0
Bike,Saturday,The Netherlands,2020,0.56,29.0
Bike,Saturday,The Netherlands,2021,0.54,28.0
Bike,Saturday,Noord-Nederland (LD),2018,0.58,30.0
Bike,Saturday,Noord-Nederland (LD),2019,0.57,30.0
Bike,Saturday,Noord-Nederland (LD),2020,0.52,27.0
Bike,Saturday,Noord-Nederland (LD),2021,0.5,26.0
Bike,Saturday,Oost-Nederland (LD),2018,0.71,37.0
Bike,Saturday,Oost-Nederland (LD),2019,0.64,34.0
Bike,Saturday,Oost-Nederland (LD),2020,0.54,28.0
Bike,Saturday,Oost-Nederland (LD),2021,0.55,29.0
Bike,Saturday,West-Nederland (LD),2018,0.64,33.0
Bike,Saturday,West-Nederland (LD),2019,0.6,31.0
Bike,Saturday,West-Nederland (LD),2020,0.56,29.0
Bike,Saturday,West-Nederland (LD),2021,0.55,29.0
Bike,Saturday,Zuid-Nederland (LD),2018,0.5,26.0
Bike,Saturday,Zuid-Nederland (LD),2019,0.48,25.0
Bike,Saturday,Zuid-Nederland (LD),2020,0.46,24.0
Bike,Saturday,Zuid-Nederland (LD),2021,0.4,21.0
Bike,Saturday,Groningen (PV),2018,0.56,29.0
Bike,Saturday,Groningen (PV),2019,0.56,29.0
Bike,Saturday,Groningen (PV),2020,0.45,23.0
Bike,Saturday,Groningen (PV),2021,0.43,22.0
Bike,Saturday,Fryslân (PV),2018,0.49,25.0
Bike,Saturday,Fryslân (PV),2019,0.45,23.0
Bike,Saturday,Fryslân (PV),2020,0.5,26.0
Bike,Saturday,Fryslân (PV),2021,0.45,23.0
Bike,Saturday,Drenthe (PV),2018,0.49,25.0
Bike,Saturday,Drenthe (PV),2019,0.45,23.0
Bike,Saturday,Drenthe (PV),2020,,
Bike,Saturday,Drenthe (PV),2021,0.41,21.0
Bike,Saturday,Overijssel (PV),2018,0.74,39.0
Bike,Saturday,Overijssel (PV),2019,0.69,36.0
Bike,Saturday,Overijssel (PV),2020,0.53,28.0
Bike,Saturday,Overijssel (PV),2021,0.59,31.0
Bike,Saturday,Flevoland (PV),2018,0.33,17.0
Bike,Saturday,Flevoland (PV),2019,0.32,17.0
Bike,Saturday,Flevoland (PV),2020,,
Bike,Saturday,Flevoland (PV),2021,,
Bike,Saturday,Gelderland (PV),2018,0.69,36.0
Bike,Saturday,Gelderland (PV),2019,0.6,31.0
Bike,Saturday,Gelderland (PV),2020,0.52,27.0
Bike,Saturday,Gelderland (PV),2021,0.53,27.0
Bike,Saturday,Utrecht (PV),2018,0.73,38.0
Bike,Saturday,Utrecht (PV),2019,0.64,33.0
Bike,Saturday,Utrecht (PV),2020,0.65,34.0
Bike,Saturday,Utrecht (PV),2021,0.63,33.0
Bike,Saturday,Noord-Holland (PV),2018,0.65,34.0
Bike,Saturday,Noord-Holland (PV),2019,0.66,35.0
Bike,Saturday,Noord-Holland (PV),2020,0.56,29.0
Bike,Saturday,Noord-Holland (PV),2021,0.56,29.0
Bike,Saturday,Zuid-Holland (PV),2018,0.54,28.0
Bike,Saturday,Zuid-Holland (PV),2019,0.49,25.0
Bike,Saturday,Zuid-Holland (PV),2020,0.49,25.0
Bike,Saturday,Zuid-Holland (PV),2021,0.48,25.0
Bike,Saturday,Zeeland (PV),2018,0.41,21.0
Bike,Saturday,Zeeland (PV),2019,,
Bike,Saturday,Zeeland (PV),2020,,
Bike,Saturday,Zeeland (PV),2021,,
Bike,Saturday,Noord-Brabant (PV),2018,0.51,26.0
Bike,Saturday,Noord-Brabant (PV),2019,0.52,27.0
Bike,Saturday,Noord-Brabant (PV),2020,0.49,25.0
Bike,Saturday,Noord-Brabant (PV),2021,0.41,21.0
Bike,Saturday,Limburg (PV),2018,0.4,21.0
Bike,Saturday,Limburg (PV),2019,0.31,16.0
Bike,Saturday,Limburg (PV),2020,0.34,18.0
Bike,Saturday,Limburg (PV),2021,0.31,16.0
Bike,Saturday,The Netherlands,2018,0.71,37.0
Bike,Saturday,The Netherlands,2019,0.68,35.0
Bike,Saturday,The Netherlands,2020,0.61,32.0
Bike,Saturday,The Netherlands,2021,0.59,31.0
Bike,Saturday,Noord-Nederland (LD),2018,0.78,41.0
Bike,Saturday,Noord-Nederland (LD),2019,0.8,42.0
Bike,Saturday,Noord-Nederland (LD),2020,0.7,37.0
Bike,Saturday,Noord-Nederland (LD),2021,0.68,36.0
Bike,Saturday,Oost-Nederland (LD),2018,0.85,44.0
Bike,Saturday,Oost-Nederland (LD),2019,0.79,41.0
Bike,Saturday,Oost-Nederland (LD),2020,0.66,34.0
Bike,Saturday,Oost-Nederland (LD),2021,0.67,35.0
Bike,Saturday,West-Nederland (LD),2018,0.73,38.0
Bike,Saturday,West-Nederland (LD),2019,0.69,36.0
Bike,Saturday,West-Nederland (LD),2020,0.63,33.0
Bike,Saturday,West-Nederland (LD),2021,0.63,33.0
Bike,Saturday,Zuid-Nederland (LD),2018,0.61,32.0
Bike,Saturday,Zuid-Nederland (LD),2019,0.61,32.0
Bike,Saturday,Zuid-Nederland (LD),2020,0.58,30.0
Bike,Saturday,Zuid-Nederland (LD),2021,0.5,26.0
Bike,Saturday,Groningen (PV),2018,0.94,49.0
Bike,Saturday,Groningen (PV),2019,0.94,49.0
Bike,Saturday,Groningen (PV),2020,0.72,38.0
Bike,Saturday,Groningen (PV),2021,0.7,36.0
Bike,Saturday,Fryslân (PV),2018,0.79,41.0
Bike,Saturday,Fryslân (PV),2019,0.78,41.0
Bike,Saturday,Fryslân (PV),2020,0.81,42.0
Bike,Saturday,Fryslân (PV),2021,0.81,42.0
Bike,Saturday,Drenthe (PV),2018,0.83,43.0
Bike,Saturday,Drenthe (PV),2019,0.96,50.0
Bike,Saturday,Drenthe (PV),2020,,
Bike,Saturday,Drenthe (PV),2021,0.74,39.0
Bike,Saturday,Overijssel (PV),2018,1.0,52.0
Bike,Saturday,Overijssel (PV),2019,0.98,51.0
Bike,Saturday,Overijssel (PV),2020,0.75,39.0
Bike,Saturday,Overijssel (PV),2021,0.82,43.0
Bike,Saturday,Flevoland (PV),2018,0.64,33.0
Bike,Saturday,Flevoland (PV),2019,0.69,36.0
Bike,Saturday,Flevoland (PV),2020,,
Bike,Saturday,Flevoland (PV),2021,,
Bike,Saturday,Gelderland (PV),2018,0.88,46.0
Bike,Saturday,Gelderland (PV),2019,0.79,41.0
Bike,Saturday,Gelderland (PV),2020,0.69,36.0
Bike,Saturday,Gelderland (PV),2021,0.68,36.0
Bike,Saturday,Utrecht (PV),2018,0.96,50.0
Bike,Saturday,Utrecht (PV),2019,0.87,45.0
Bike,Saturday,Utrecht (PV),2020,0.81,42.0
Bike,Saturday,Utrecht (PV),2021,0.77,40.0
Bike,Saturday,Noord-Holland (PV),2018,0.81,42.0
Bike,Saturday,Noord-Holland (PV),2019,0.85,44.0
Bike,Saturday,Noord-Holland (PV),2020,0.69,36.0
Bike,Saturday,Noord-Holland (PV),2021,0.7,36.0
Bike,Saturday,Zuid-Holland (PV),2018,0.68,35.0
Bike,Saturday,Zuid-Holland (PV),2019,0.6,31.0
Bike,Saturday,Zuid-Holland (PV),2020,0.58,30.0
Bike,Saturday,Zuid-Holland (PV),2021,0.58,30.0
Bike,Saturday,Zeeland (PV),2018,0.8,42.0
Bike,Saturday,Zeeland (PV),2019,,
Bike,Saturday,Zeeland (PV),2020,,
Bike,Saturday,Zeeland (PV),2021,,
Bike,Saturday,Noord-Brabant (PV),2018,0.65,34.0
Bike,Saturday,Noord-Brabant (PV),2019,0.69,36.0
Bike,Saturday,Noord-Brabant (PV),2020,0.63,33.0
Bike,Saturday,Noord-Brabant (PV),2021,0.54,28.0
Bike,Saturday,Limburg (PV),2018,0.59,31.0
Bike,Saturday,Limburg (PV),2019,0.51,26.0
Bike,Saturday,Limburg (PV),2020,0.52,27.0
Bike,Saturday,Limburg (PV),2021,0.48,25.0
Bike,Trip in January,The Netherlands,2018,0.71,22.0
Bike,Trip in January,The Netherlands,2019,0.67,21.0
Bike,Trip in January,The Netherlands,2020,0.75,23.0
Bike,Trip in January,The Netherlands,2021,0.36,11.0
Bike,Trip in January,Noord-Nederland (LD),2018,0.66,21.0
Bike,Trip in January,Noord-Nederland (LD),2019,0.67,21.0
Bike,Trip in January,Noord-Nederland (LD),2020,0.77,24.0
Bike,Trip in January,Noord-Nederland (LD),2021,0.38,12.0
Bike,Trip in January,Oost-Nederland (LD),2018,0.81,25.0
Bike,Trip in January,Oost-Nederland (LD),2019,0.68,21.0
Bike,Trip in January,Oost-Nederland (LD),2020,0.78,24.0
Bike,Trip in January,Oost-Nederland (LD),2021,0.38,12.0
Bike,Trip in January,West-Nederland (LD),2018,0.71,22.0
Bike,Trip in January,West-Nederland (LD),2019,0.74,23.0
Bike,Trip in January,West-Nederland (LD),2020,0.78,24.0
Bike,Trip in January,West-Nederland (LD),2021,0.38,12.0
Bike,Trip in January,Zuid-Nederland (LD),2018,0.6,19.0
Bike,Trip in January,Zuid-Nederland (LD),2019,0.53,16.0
Bike,Trip in January,Zuid-Nederland (LD),2020,0.63,20.0
Bike,Trip in January,Zuid-Nederland (LD),2021,0.32,10.0
Bike,Trip in January,Groningen (PV),2018,0.92,28.0
Bike,Trip in January,Groningen (PV),2019,0.82,25.0
Bike,Trip in January,Groningen (PV),2020,,
Bike,Trip in January,Groningen (PV),2021,,
Bike,Trip in January,Fryslân (PV),2018,,
Bike,Trip in January,Fryslân (PV),2019,,
Bike,Trip in January,Fryslân (PV),2020,,
Bike,Trip in January,Fryslân (PV),2021,,
Bike,Trip in January,Drenthe (PV),2018,,
Bike,Trip in January,Drenthe (PV),2019,,
Bike,Trip in January,Drenthe (PV),2020,,
Bike,Trip in January,Drenthe (PV),2021,,
Bike,Trip in January,Overijssel (PV),2018,0.82,25.0
Bike,Trip in January,Overijssel (PV),2019,0.88,27.0
Bike,Trip in January,Overijssel (PV),2020,0.83,26.0
Bike,Trip in January,Overijssel (PV),2021,0.38,12.0
Bike,Trip in January,Flevoland (PV),2018,,
Bike,Trip in January,Flevoland (PV),2019,,
Bike,Trip in January,Flevoland (PV),2020,,
Bike,Trip in January,Flevoland (PV),2021,,
Bike,Trip in January,Gelderland (PV),2018,0.88,27.0
Bike,Trip in January,Gelderland (PV),2019,0.61,19.0
Bike,Trip in January,Gelderland (PV),2020,0.79,25.0
Bike,Trip in January,Gelderland (PV),2021,0.4,12.0
Bike,Trip in January,Utrecht (PV),2018,0.74,23.0
Bike,Trip in January,Utrecht (PV),2019,0.88,27.0
Bike,Trip in January,Utrecht (PV),2020,0.89,27.0
Bike,Trip in January,Utrecht (PV),2021,0.4,12.0
Bike,Trip in January,Noord-Holland (PV),2018,0.74,23.0
Bike,Trip in January,Noord-Holland (PV),2019,0.71,22.0
Bike,Trip in January,Noord-Holland (PV),2020,0.83,26.0
Bike,Trip in January,Noord-Holland (PV),2021,0.4,12.0
Bike,Trip in January,Zuid-Holland (PV),2018,0.67,21.0
Bike,Trip in January,Zuid-Holland (PV),2019,0.71,22.0
Bike,Trip in January,Zuid-Holland (PV),2020,0.71,22.0
Bike,Trip in January,Zuid-Holland (PV),2021,0.35,11.0
Bike,Trip in January,Zeeland (PV),2018,,
Bike,Trip in January,Zeeland (PV),2019,,
Bike,Trip in January,Zeeland (PV),2020,,
Bike,Trip in January,Zeeland (PV),2021,,
Bike,Trip in January,Noord-Brabant (PV),2018,0.66,20.0
Bike,Trip in January,Noord-Brabant (PV),2019,0.56,18.0
Bike,Trip in January,Noord-Brabant (PV),2020,0.68,21.0
Bike,Trip in January,Noord-Brabant (PV),2021,0.35,11.0
Bike,Trip in January,Limburg (PV),2018,0.46,14.0
Bike,Trip in January,Limburg (PV),2019,0.44,14.0
Bike,Trip in January,Limburg (PV),2020,0.51,16.0
Bike,Trip in January,Limburg (PV),2021,,
Bike,Trip in January,The Netherlands,2018,0.66,21.0
Bike,Trip in January,The Netherlands,2019,0.63,20.0
Bike,Trip in January,The Netherlands,2020,0.71,22.0
Bike,Trip in January,The Netherlands,2021,0.34,11.0
Bike,Trip in January,Noord-Nederland (LD),2018,0.54,17.0
Bike,Trip in January,Noord-Nederland (LD),2019,0.53,16.0
Bike,Trip in January,Noord-Nederland (LD),2020,0.62,19.0
Bike,Trip in January,Noord-Nederland (LD),2021,0.29,9.0
Bike,Trip in January,Oost-Nederland (LD),2018,0.73,23.0
Bike,Trip in January,Oost-Nederland (LD),2019,0.59,18.0
Bike,Trip in January,Oost-Nederland (LD),2020,0.69,21.0
Bike,Trip in January,Oost-Nederland (LD),2021,0.32,10.0
Bike,Trip in January,West-Nederland (LD),2018,0.65,20.0
Bike,Trip in January,West-Nederland (LD),2019,0.67,21.0
Bike,Trip in January,West-Nederland (LD),2020,0.73,23.0
Bike,Trip in January,West-Nederland (LD),2021,0.34,11.0
Bike,Trip in January,Zuid-Nederland (LD),2018,0.51,16.0
Bike,Trip in January,Zuid-Nederland (LD),2019,0.45,14.0
Bike,Trip in January,Zuid-Nederland (LD),2020,0.55,17.0
Bike,Trip in January,Zuid-Nederland (LD),2021,0.27,8.0
Bike,Trip in January,Groningen (PV),2018,0.68,21.0
Bike,Trip in January,Groningen (PV),2019,0.56,17.0
Bike,Trip in January,Groningen (PV),2020,,
Bike,Trip in January,Groningen (PV),2021,,
Bike,Trip in January,Fryslân (PV),2018,,
Bike,Trip in January,Fryslân (PV),2019,,
Bike,Trip in January,Fryslân (PV),2020,,
Bike,Trip in January,Fryslân (PV),2021,,
Bike,Trip in January,Drenthe (PV),2018,,
Bike,Trip in January,Drenthe (PV),2019,,
Bike,Trip in January,Drenthe (PV),2020,,
Bike,Trip in January,Drenthe (PV),2021,,
Bike,Trip in January,Overijssel (PV),2018,0.67,21.0
Bike,Trip in January,Overijssel (PV),2019,0.71,22.0
Bike,Trip in January,Overijssel (PV),2020,0.66,20.0
Bike,Trip in January,Overijssel (PV),2021,0.28,9.0
Bike,Trip in January,Flevoland (PV),2018,,
Bike,Trip in January,Flevoland (PV),2019,,
Bike,Trip in January,Flevoland (PV),2020,,
Bike,Trip in January,Flevoland (PV),2021,,
Bike,Trip in January,Gelderland (PV),2018,0.76,23.0
Bike,Trip in January,Gelderland (PV),2019,0.5,16.0
Bike,Trip in January,Gelderland (PV),2020,0.67,21.0
Bike,Trip in January,Gelderland (PV),2021,0.32,10.0
Bike,Trip in January,Utrecht (PV),2018,0.6,19.0
Bike,Trip in January,Utrecht (PV),2019,0.67,21.0
Bike,Trip in January,Utrecht (PV),2020,0.77,24.0
Bike,Trip in January,Utrecht (PV),2021,0.34,10.0
Bike,Trip in January,Noord-Holland (PV),2018,0.64,20.0
Bike,Trip in January,Noord-Holland (PV),2019,0.6,19.0
Bike,Trip in January,Noord-Holland (PV),2020,0.72,22.0
Bike,Trip in January,Noord-Holland (PV),2021,0.34,11.0
Bike,Trip in January,Zuid-Holland (PV),2018,0.58,18.0
Bike,Trip in January,Zuid-Holland (PV),2019,0.61,19.0
Bike,Trip in January,Zuid-Holland (PV),2020,0.63,19.0
Bike,Trip in January,Zuid-Holland (PV),2021,0.3,9.0
Bike,Trip in January,Zeeland (PV),2018,,
Bike,Trip in January,Zeeland (PV),2019,,
Bike,Trip in January,Zeeland (PV),2020,,
Bike,Trip in January,Zeeland (PV),2021,,
Bike,Trip in January,Noord-Brabant (PV),2018,0.54,17.0
Bike,Trip in January,Noord-Brabant (PV),2019,0.46,14.0
Bike,Trip in January,Noord-Brabant (PV),2020,0.58,18.0
Bike,Trip in January,Noord-Brabant (PV),2021,0.28,9.0
Bike,Trip in January,Limburg (PV),2018,0.33,10.0
Bike,Trip in January,Limburg (PV),2019,0.32,10.0
Bike,Trip in January,Limburg (PV),2020,0.39,12.0
Bike,Trip in January,Limburg (PV),2021,,
Bike,Trip in January,The Netherlands,2018,0.75,23.0
Bike,Trip in January,The Netherlands,2019,0.72,22.0
Bike,Trip in January,The Netherlands,2020,0.79,24.0
Bike,Trip in January,The Netherlands,2021,0.39,12.0
Bike,Trip in January,Noord-Nederland (LD),2018,0.79,24.0
Bike,Trip in January,Noord-Nederland (LD),2019,0.8,25.0
Bike,Trip in January,Noord-Nederland (LD),2020,0.91,28.0
Bike,Trip in January,Noord-Nederland (LD),2021,0.48,15.0
Bike,Trip in January,Oost-Nederland (LD),2018,0.9,28.0
Bike,Trip in January,Oost-Nederland (LD),2019,0.76,24.0
Bike,Trip in January,Oost-Nederland (LD),2020,0.87,27.0
Bike,Trip in January,Oost-Nederland (LD),2021,0.43,13.0
Bike,Trip in January,West-Nederland (LD),2018,0.78,24.0
Bike,Trip in January,West-Nederland (LD),2019,0.81,25.0
Bike,Trip in January,West-Nederland (LD),2020,0.84,26.0
Bike,Trip in January,West-Nederland (LD),2021,0.41,13.0
Bike,Trip in January,Zuid-Nederland (LD),2018,0.69,21.0
Bike,Trip in January,Zuid-Nederland (LD),2019,0.61,19.0
Bike,Trip in January,Zuid-Nederland (LD),2020,0.71,22.0
Bike,Trip in January,Zuid-Nederland (LD),2021,0.37,12.0
Bike,Trip in January,Groningen (PV),2018,1.15,36.0
Bike,Trip in January,Groningen (PV),2019,1.08,33.0
Bike,Trip in January,Groningen (PV),2020,,
Bike,Trip in January,Groningen (PV),2021,,
Bike,Trip in January,Fryslân (PV),2018,,
Bike,Trip in January,Fryslân (PV),2019,,
Bike,Trip in January,Fryslân (PV),2020,,
Bike,Trip in January,Fryslân (PV),2021,,
Bike,Trip in January,Drenthe (PV),2018,,
Bike,Trip in January,Drenthe (PV),2019,,
Bike,Trip in January,Drenthe (PV),2020,,
Bike,Trip in January,Drenthe (PV),2021,,
Bike,Trip in January,Overijssel (PV),2018,0.97,30.0
Bike,Trip in January,Overijssel (PV),2019,1.05,33.0
Bike,Trip in January,Overijssel (PV),2020,1.0,31.0
Bike,Trip in January,Overijssel (PV),2021,0.47,15.0
Bike,Trip in January,Flevoland (PV),2018,,
Bike,Trip in January,Flevoland (PV),2019,,
Bike,Trip in January,Flevoland (PV),2020,,
Bike,Trip in January,Flevoland (PV),2021,,
Bike,Trip in January,Gelderland (PV),2018,1.0,31.0
Bike,Trip in January,Gelderland (PV),2019,0.71,22.0
Bike,Trip in January,Gelderland (PV),2020,0.92,28.0
Bike,Trip in January,Gelderland (PV),2021,0.48,15.0
Bike,Trip in January,Utrecht (PV),2018,0.88,27.0
Bike,Trip in January,Utrecht (PV),2019,1.08,34.0
Bike,Trip in January,Utrecht (PV),2020,1.0,31.0
Bike,Trip in January,Utrecht (PV),2021,0.46,14.0
Bike,Trip in January,Noord-Holland (PV),2018,0.85,26.0
Bike,Trip in January,Noord-Holland (PV),2019,0.82,25.0
Bike,Trip in January,Noord-Holland (PV),2020,0.94,29.0
Bike,Trip in January,Noord-Holland (PV),2021,0.46,14.0
Bike,Trip in January,Zuid-Holland (PV),2018,0.76,24.0
Bike,Trip in January,Zuid-Holland (PV),2019,0.8,25.0
Bike,Trip in January,Zuid-Holland (PV),2020,0.79,25.0
Bike,Trip in January,Zuid-Holland (PV),2021,0.39,12.0
Bike,Trip in January,Zeeland (PV),2018,,
Bike,Trip in January,Zeeland (PV),2019,,
Bike,Trip in January,Zeeland (PV),2020,,
Bike,Trip in January,Zeeland (PV),2021,,
Bike,Trip in January,Noord-Brabant (PV),2018,0.78,24.0
Bike,Trip in January,Noord-Brabant (PV),2019,0.67,21.0
Bike,Trip in January,Noord-Brabant (PV),2020,0.78,24.0
Bike,Trip in January,Noord-Brabant (PV),2021,0.42,13.0
Bike,Trip in January,Limburg (PV),2018,0.6,19.0
Bike,Trip in January,Limburg (PV),2019,0.57,18.0
Bike,Trip in January,Limburg (PV),2020,0.64,20.0
Bike,Trip in January,Limburg (PV),2021,,
Bike,Trip in February,The Netherlands,2018,0.74,21.0
Bike,Trip in February,The Netherlands,2019,0.76,21.0
Bike,Trip in February,The Netherlands,2020,0.63,18.0
Bike,Trip in February,The Netherlands,2021,0.36,10.0
Bike,Trip in February,Noord-Nederland (LD),2018,0.65,18.0
Bike,Trip in February,Noord-Nederland (LD),2019,0.93,26.0
Bike,Trip in February,Noord-Nederland (LD),2020,0.69,20.0
Bike,Trip in February,Noord-Nederland (LD),2021,0.35,10.0
Bike,Trip in February,Oost-Nederland (LD),2018,0.78,22.0
Bike,Trip in February,Oost-Nederland (LD),2019,0.83,23.0
Bike,Trip in February,Oost-Nederland (LD),2020,0.7,20.0
Bike,Trip in February,Oost-Nederland (LD),2021,0.4,11.0
Bike,Trip in February,West-Nederland (LD),2018,0.77,22.0
Bike,Trip in February,West-Nederland (LD),2019,0.72,20.0
Bike,Trip in February,West-Nederland (LD),2020,0.64,18.0
Bike,Trip in February,West-Nederland (LD),2021,0.35,10.0
Bike,Trip in February,Zuid-Nederland (LD),2018,0.66,18.0
Bike,Trip in February,Zuid-Nederland (LD),2019,0.68,19.0
Bike,Trip in February,Zuid-Nederland (LD),2020,0.51,15.0
Bike,Trip in February,Zuid-Nederland (LD),2021,0.33,9.0
Bike,Trip in February,Groningen (PV),2018,,
Bike,Trip in February,Groningen (PV),2019,0.94,26.0
Bike,Trip in February,Groningen (PV),2020,,
Bike,Trip in February,Groningen (PV),2021,,
Bike,Trip in February,Fryslân (PV),2018,0.66,18.0
Bike,Trip in February,Fryslân (PV),2019,,
Bike,Trip in February,Fryslân (PV),2020,,
Bike,Trip in February,Fryslân (PV),2021,,
Bike,Trip in February,Drenthe (PV),2018,,
Bike,Trip in February,Drenthe (PV),2019,,
Bike,Trip in February,Drenthe (PV),2020,,
Bike,Trip in February,Drenthe (PV),2021,,
Bike,Trip in February,Overijssel (PV),2018,0.91,26.0
Bike,Trip in February,Overijssel (PV),2019,0.88,25.0
Bike,Trip in February,Overijssel (PV),2020,0.69,20.0
Bike,Trip in February,Overijssel (PV),2021,0.49,14.0
Bike,Trip in February,Flevoland (PV),2018,,
Bike,Trip in February,Flevoland (PV),2019,,
Bike,Trip in February,Flevoland (PV),2020,,
Bike,Trip in February,Flevoland (PV),2021,,
Bike,Trip in February,Gelderland (PV),2018,0.77,22.0
Bike,Trip in February,Gelderland (PV),2019,0.84,24.0
Bike,Trip in February,Gelderland (PV),2020,0.75,22.0
Bike,Trip in February,Gelderland (PV),2021,0.4,11.0
Bike,Trip in February,Utrecht (PV),2018,0.83,23.0
Bike,Trip in February,Utrecht (PV),2019,0.94,26.0
Bike,Trip in February,Utrecht (PV),2020,0.77,22.0
Bike,Trip in February,Utrecht (PV),2021,0.43,12.0
Bike,Trip in February,Noord-Holland (PV),2018,0.82,23.0
Bike,Trip in February,Noord-Holland (PV),2019,0.72,20.0
Bike,Trip in February,Noord-Holland (PV),2020,0.71,21.0
Bike,Trip in February,Noord-Holland (PV),2021,0.33,9.0
Bike,Trip in February,Zuid-Holland (PV),2018,0.73,20.0
Bike,Trip in February,Zuid-Holland (PV),2019,0.65,18.0
Bike,Trip in February,Zuid-Holland (PV),2020,0.54,16.0
Bike,Trip in February,Zuid-Holland (PV),2021,0.33,9.0
Bike,Trip in February,Zeeland (PV),2018,,
Bike,Trip in February,Zeeland (PV),2019,,
Bike,Trip in February,Zeeland (PV),2020,,
Bike,Trip in February,Zeeland (PV),2021,,
Bike,Trip in February,Noord-Brabant (PV),2018,0.7,20.0
Bike,Trip in February,Noord-Brabant (PV),2019,0.73,21.0
Bike,Trip in February,Noord-Brabant (PV),2020,0.56,16.0
Bike,Trip in February,Noord-Brabant (PV),2021,0.37,10.0
Bike,Trip in February,Limburg (PV),2018,0.57,16.0
Bike,Trip in February,Limburg (PV),2019,0.57,16.0
Bike,Trip in February,Limburg (PV),2020,,
Bike,Trip in February,Limburg (PV),2021,,
Bike,Trip in February,The Netherlands,2018,0.69,19.0
Bike,Trip in February,The Netherlands,2019,0.71,20.0
Bike,Trip in February,The Netherlands,2020,0.59,17.0
Bike,Trip in February,The Netherlands,2021,0.33,9.0
Bike,Trip in February,Noord-Nederland (LD),2018,0.53,15.0
Bike,Trip in February,Noord-Nederland (LD),2019,0.77,22.0
Bike,Trip in February,Noord-Nederland (LD),2020,0.54,16.0
Bike,Trip in February,Noord-Nederland (LD),2021,0.27,7.0
Bike,Trip in February,Oost-Nederland (LD),2018,0.67,19.0
Bike,Trip in February,Oost-Nederland (LD),2019,0.72,20.0
Bike,Trip in February,Oost-Nederland (LD),2020,0.6,17.0
Bike,Trip in February,Oost-Nederland (LD),2021,0.34,9.0
Bike,Trip in February,West-Nederland (LD),2018,0.7,20.0
Bike,Trip in February,West-Nederland (LD),2019,0.66,18.0
Bike,Trip in February,West-Nederland (LD),2020,0.58,17.0
Bike,Trip in February,West-Nederland (LD),2021,0.31,9.0
Bike,Trip in February,Zuid-Nederland (LD),2018,0.56,16.0
Bike,Trip in February,Zuid-Nederland (LD),2019,0.58,16.0
Bike,Trip in February,Zuid-Nederland (LD),2020,0.43,13.0
Bike,Trip in February,Zuid-Nederland (LD),2021,0.27,8.0
Bike,Trip in February,Groningen (PV),2018,,
Bike,Trip in February,Groningen (PV),2019,0.68,19.0
Bike,Trip in February,Groningen (PV),2020,,
Bike,Trip in February,Groningen (PV),2021,,
Bike,Trip in February,Fryslân (PV),2018,0.46,13.0
Bike,Trip in February,Fryslân (PV),2019,,
Bike,Trip in February,Fryslân (PV),2020,,
Bike,Trip in February,Fryslân (PV),2021,,
Bike,Trip in February,Drenthe (PV),2018,,
Bike,Trip in February,Drenthe (PV),2019,,
Bike,Trip in February,Drenthe (PV),2020,,
Bike,Trip in February,Drenthe (PV),2021,,
Bike,Trip in February,Overijssel (PV),2018,0.7,20.0
Bike,Trip in February,Overijssel (PV),2019,0.67,19.0
Bike,Trip in February,Overijssel (PV),2020,0.53,15.0
Bike,Trip in February,Overijssel (PV),2021,0.36,10.0
Bike,Trip in February,Flevoland (PV),2018,,
Bike,Trip in February,Flevoland (PV),2019,,
Bike,Trip in February,Flevoland (PV),2020,,
Bike,Trip in February,Flevoland (PV),2021,,
Bike,Trip in February,Gelderland (PV),2018,0.64,18.0
